#,Company_Name,Aktenzeichen,Date_Incorporation,CMP_Status,Amtsgericht,Street,Postcode,City,Industry,WZ2008,Startup_Website,LinkedIn_URL,Crunchbase_URL,Northdata_URL,Comment,Founding_Team_Size
49,allcompare GmbH,HRB 743453,2021-12-23,A,Ulm,Schulze-Delitzsch-Straße 11,D-73434,Aalen,Finanzbereich,63,http://allcompare.de/,,,,,0
50,Foodaround UG (haftungsbeschränkt),HRB 237030 B,2021-12-23,A,Charlottenburg (Berlin),Rykestraße 11,D-10405,Berlin,Lebensmittel,63,,,,,,0
51,Ideal Theta UG (haftungsbeschränkt),HRB 42304,2021-12-23,A,Dresden,Zellescher Weg 41 c/ 03033,D-01217,Dresden,Gaming,62,,,,,,0
52,metiundo GmbH,HRB 237024 B,2021-12-23,A,Charlottenburg (Berlin),Feurigstraße 51,D-10827,Berlin,Immobilien,26,https://www.metiundo.io/,https://www.linkedin.com/company/metiundo-gmbh/,,,,0
53,Mnmytnt GmbH,HRB 108776,2021-12-23,A,Köln,Schlunkweg 48,D-50374,Erftstadt,Blockchain / Crypto,62,https://my-net.io/,https://www.linkedin.com/company/mycelium-network/,,,,0
54,Richtfest Tech UG (haftungsbeschränkt),HRB 237056 B,2021-12-23,A,Charlottenburg (Berlin),Seegefelder Weg 317,D-13591,Berlin,Software,62,http://richtfest.tech/,,,,,0
55,Willgood Technology GmbH,HRB 33362,2021-12-23,A,Kaiserslautern,Trippstadter Straße 110,D-67663,Kaiserslautern,Sport,26,https://willgood-technology.com/,,,,,0
56,Building Enerlytics GmbH,HRB 237015 B,2021-12-22,A,Charlottenburg (Berlin),Döringstraße 2,D-10245,Berlin,Energie,62,https://buildingenerlytics.com/,,,,,0
57,Cryptoticker.io GmbH,HRB 236931 B,2021-12-22,A,Charlottenburg (Berlin),Unter den Linden 24,D-10117,Berlin,Blockchain / Crypto,63,https://cryptoticker.io/,https://www.linkedin.com/company/cryptoticker-io/,,,,0
58,DARYSE GmbH,HRB 108758,2021-12-22,A,Köln,Im alten Driesch 5,D-51519,Odenthal,Sport,62,,,,,,0
59,Dascai GmbH,HRB 237027 B,2021-12-22,A,Charlottenburg (Berlin),Pappelallee 78/79,D-10437,Berlin,Tourismus,62,,,,,,0
60,Engagesystems UG (haftungsbeschränkt),HRB 30746,2021-12-22,A,Stendal,Zum Handelshof 3,D-39108,Magdeburg,Software,26,,,,,,0
61,Jamix - Solutions UG (haftungsbeschränkt),HRB 222853,2021-12-22,A,Hannover,Röpkestraße 12,D-30173,Hannover,Lebensmittel,62,http://jamix-solutions.de/,,,,,0
62,jus&jar GmbH,HRB 236996 B,2021-12-22,A,Charlottenburg (Berlin),Sanderstraße 12,D-12047,Berlin,Lebensmittel,10,,,,,,0
63,NFT Games Analytics UG (haftungsbeschränkt),HRB 236942 B,2021-12-22,A,Charlottenburg (Berlin),Jasmunder Straße 3,D-13355,Berlin,Blockchain / Crypto,62,,,,,,0
64,ONTHEGO GmbH,HRB 108756,2021-12-22,A,Köln,Habsburgerring 1,D-50674,Köln,Personal,62,http://onthego-crm.com/,,,,,0
65,Pexam GmbH,HRB 19933,2021-12-22,A,Münster,Frauenstraße 44,D-48143,Münster,Bildung,62,https://pexam.de/,https://www.linkedin.com/company/pexam/,,,,0
66,POCT Technologies GmbH,HRB 743447,2021-12-22,A,Ulm,Kolpingstraße 10,D-72510,Stetten am kalten Markt,Medizin,21,http://poct-technologies.de/,,,,,0
67,Scopewire Data GmbH,HRB 15554,2021-12-22,A,Paderborn,Leihbühl 21,D-33165,Lichtenau,Software,62,https://scopewire.de/,,,,,0
