name_x;name_y;CoInvestments
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);ENTREPRENEUR FIRST (GLOBAL) L.P.;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Entrepreneur First Operations Limited;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Esprit Nominees Limited;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Fin VC Regatta I, LP;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);FinTech Collective Fund III LP;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Founders First Capital GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Fufu Ventures UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Fund I, a series of Nomad Capital VC, LP;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Guillaume Cabane;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Horeyseck Ventures UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Husain Misherghi;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);J7B5 Investments UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);K16-Boxwood UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Kawar Ventures Co (LLC);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);LFBGI1 Beteiligungsgesellschaft mbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);La Plata GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Laurin Hainy;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Luca Ascani;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);MJJ Invest GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Malte Huffmann GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Manoa Ventures GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Mark Ransford;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Markus Giinter Ament;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);New Wave SASU;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);PBT912 UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);PCN Ventures UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Philippe Teixeira da Mota;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Povel Ventures GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);RJ Expeditions GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Rotwand Ventures GmbH;1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Schmitz Ventures UG (haftungsbeschrankt);1
AKVaganza Unternehmergesellschaft (haftungsbeschrankt);Scout VI-A, LLC;1
