startup_id;startup_name;date_incorporated;register_identification_number;register;startup_location;startup_industry;startup_website;startup_linkedin;Unnamed: 9;Unnamed: 10;shareholder_json;list_mds;number_shareholders;number_angels;startup_purpose;link_shareholder_file_2021;register_mapping;startup_industry_mapped;azure_json;error;link_structured_content_file_current;link_SI_file_current;azure_json_2021;shareholder_json_2021
16925;Devil Cookie Games UG (haftungsbeschränkt);2018-02-22;HRB 729798;Mannheim;Karlsruhe;Gaming;https://devilcookie.com;;11531.0;;;;;;;;;;;;;;;
16926;Nevita Systems UG (haftungsbeschränkt);2018-02-22;HRB 30828 P;Potsdam;Brandenburg an der Havel;Medizin;https://nevita-systems.com;;11534.0;;;;;;;;;;;;;;;
16927;VIMTOX UG (haftungsbeschränkt);2018-02-22;HRB 93674;Köln;Erftstadt;Bauwesen;https://vimtox.de;;11537.0;;;;;;;;;;;;;;;
16928;Flixhouse UG (haftungsbeschränkt);2018-02-21;HRB 30840 P;Potsdam;Potsdam;Immobilien;https://www.flixhouse.online;;11543.0;;;;;;;;;;;;;;;
16929;Mimic UG (haftungsbeschränkt);2018-02-21;HRB 100025;Köln;Bremen;Hardware;https://www.mimic-drones.com;;11545.0;;;;;;;;;;;;;;;
16930;THE DISTRIQT MEDIA UG (haftungsbeschränkt);2018-02-20;HRB 150373;Hamburg;Hamburg;Medien;https://thedistriqt.com/;;11562.0;;;;;;;;;;;;;;;
16931;Rundeer UG (haftungsbeschränkt);2018-02-19;HRB 93632;Köln;Erftstadt;Sport;;;11569.0;;;;;;;;;;;;;;;
16932;CLEVER PEOPLE UG (haftungsbeschränkt) - Das Netzwerk für kluge Leute;2018-02-15;HRB 19396 KI;Kiel;Kiel;Personal;https://www.cleverpeople.net;;11581.0;;;;;;;;;;;;;;;
16933;Hobbyng UG (haftungsbeschränkt);2018-02-15;HRB 193606 B;Charlottenburg (Berlin);Berlin;Bildung;http://hobbyng.de/;;11586.0;;;;;;;;;;;;;;;
16934;Travelsation UG (haftungsbeschränkt);2018-02-14;HRB 150300;Hamburg;Hamburg;Tourismus;https://www.joinmytrip.de/;;11607.0;;;;;;;;;;;;;;;
16935;nawaro möbel UG (haftungsbeschränkt);2018-02-13;HRB 12622;Straubing;Straubing;eCommerce;https://nawaromoebel.de/;;11617.0;;;;;;;;;;;;;;;
16936;Stageapps UG (haftungsbeschränkt);2018-02-13;HRB 150276;Hamburg;Hamburg;Personal;https://stageapp.pro/;;11619.0;;;;;;;;;;;;;;;
16937;Studibon UG (haftungsbeschränkt);2018-02-13;HRB 238873;München;München;Bildung;https://www.studibon.de;;11620.0;;;;;;;;;;;;;;;
16938;HUG A PET UG (haftungsbeschränkt);2018-02-12;HRB 193476 B;Charlottenburg (Berlin);Berlin;Dienstleistung;;;11624.0;;;;;;;;;;;;;;;
16939;wiKet markets UG (haftungsbeschränkt);2018-02-12;HRB 193474 B;Charlottenburg (Berlin);Berlin;Software;http://www.wiket.de/;;11628.0;;;;;;;;;;;;;;;
16940;bikeee Technologies UG (haftungsbeschränkt);2018-02-08;HRB 238768;München;München;Tourismus;https://allride-app.com;;11643.0;;;;;;;;;;;;;;;
16941;Liljobs UG (haftungsbeschränkt);2018-02-08;HRB 32411;Kaiserslautern;Hochspeyer;Personal;http://liljobs.de/;;11645.0;;;;;;;;;;;;;;;
16942;jobshift UG (haftungsbeschränkt);2018-02-06;HRB 150135;Hamburg;Hamburg;Personal;https://jobshift.io/;;11661.0;;;;;;;;;;;;;;;
16943;4skulls UG (haftungsbeschränkt);2018-02-05;HRB 193282 B;Charlottenburg (Berlin);Berlin;Software;https://www.safetransfer.eu;;11668.0;;;;;;;;;;;;;;;
16944;Sompani UG (haftungsbeschränkt);2018-02-05;HRB 193294 B;Charlottenburg (Berlin);Berlin;Personal;https://home.sompani.com/;https://www.linkedin.com/company/sompani/;11678.0;;;;;;;;;;;;;;;
16945;MALIQUE UG (haftungsbeschränkt);2018-01-30;HRB 207280;Lüneburg;Hambühren;eCommerce;https://malique.co;;11708.0;;;;;;;;;;;;;;;
16946;Projekt 2020 UG (haftungsbeschränkt);2018-01-30;HRB 31524;Chemnitz;Chemnitz;Mobilität;https://www.visuship.eu;;11710.0;;;;;;;;;;;;;;;
16947;Sypera UG (haftungsbeschränkt);2018-01-30;HRB 238570;München;München;Software;https://www.sypera.net;;11713.0;;;;;;;;;;;;;;;
16948;Immocado UG (haftungsbeschränkt);2018-01-29;HRB 214838 B;Charlottenburg (Berlin);Berlin;Bauwesen;https://immocado.com;;11718.0;;;;;;;;;;;;;;;
16949;weweave UG (haftungsbeschränkt);2018-01-29;HRB 30164;Wiesbaden;Idstein;Software;https://weweave.net;;11727.0;;;;;;;;;;;;;;;
16950;micro one UG (haftungsbeschränkt);2018-01-26;HRB 9779;Königstein;Schmitten;Immobilien;https://www.micro-1.com;;11732.0;;;;;;;;;;;;;;;
16951;pregfit UG (haftungsbeschränkt);2018-01-26;HRB 149949;Hamburg;Hamburg;Sport;https://www.pregfit.de/;;11735.0;;;;;;;;;;;;;;;
16952;BioNeex UG (haftungsbeschränkt);2018-01-25;HRB 193002 B;Charlottenburg (Berlin);Berlin;Medizin;https://bioneex.com;;11739.0;;;;;;;;;;;;;;;
16953;PushIT UG (haftungsbeschränkt);2018-01-25;HRB 93393;Köln;Köln;Software;https://immopush.de;;11744.0;;;;;;;;;;;;;;;
16954;x-tech UG (haftungsbeschränkt);2018-01-25;HRB 9114;Bamberg;Rentweinsdorf;Medien;https://www.self-o-mat.de;;11748.0;;;;;;;;;;;;;;;
