Christian_Hiilsewig_Familienstiftung;Christian_Hiilsewig_Familienstiftung;yes;;;
Christian_Orsinger;Christian_Orsinger;yes;;;
Christian_Trummer;Christian_Trummer;yes;;;
Christoph_Hansmeyer;Christoph_Hansmeyer;yes;;;
Cimexia_GmbH;Cimexia_GmbH;yes;;;
CK_Holding_UG_(haftungsbeschrankt);CK_Holding_UG_(haftungsbeschrankt);yes;;;
CKH_Beteiligungs_UG_(haftungsbeschrankt);CKH_Beteiligungs_UG_(haftungsbeschrankt);yes;;;
Climate-Tech_Fund_I,_a_series_of_Voyagers_Funds,_LP;Climate-Tech_Fund_I,_a_series_of_Voyagers_Funds,_LP;yes;;;
CMD_Invest_UG_(haftungsbeschrankt);CMD_Invest_UG_(haftungsbeschrankt);yes;;;
Combes_Ventures_UG_(haftungsbeschrankt);Combes_Ventures_UG_(haftungsbeschrankt);yes;;;
Companion-M_GmbH;Companion-M_GmbH;yes;;;
Companisto_Trust_Service_XVII_GmbH;Companisto_Trust_Service_XVII_GmbH;yes;;;
CONSER-Tech_GmbH;CONSER-Tech_GmbH;yes;;;
COre-invest_GmbH;COre-invest_GmbH;yes;;;
Courage_Companies_GmbH;Courage_Companies_GmbH;yes;;;
crc_ventures_GmbH;crc_ventures_GmbH;yes;;;
Creandum_V,_L.P;Creandum_V,_L.P;yes;;;
Creathor_Venture_Fund_IV_(SCSp)_SICAR;Creathor_Venture_Fund_IV_(SCSp)_SICAR;yes;;;
Creative_Friends_UG_(haftungsbeschrankt);Creative_Friends_UG_(haftungsbeschrankt);yes;;;
Cristobal_Conde;Cristobal_Conde;yes;;;
CrossingStripes_Geschaftsan-GmbH;CrossingStripes_Geschaftsan-GmbH;yes;;;
Cryptofinance_Web3_VC_GmbH_&_Co._KG;Cryptofinance_Web3_VC_GmbH_&_Co._KG;yes;;;
Cusp_Capital_Fund_2021_GmbH_&_Co._KG;Cusp_Capital_Fund_2021_GmbH_&_Co._KG;yes;;;
Cynthia_Wandia_Mburu;Cynthia_Wandia_Mburu;yes;;;
