id,created_at,register,register_map,region
42,2024-02-21 09:19:16.750648+00,Gelsenkirchen,510,nrw
46,2024-02-21 09:19:16.750648+00,Hagen,516,nrw
119,2024-02-21 09:19:16.750648+00,Steinfurt,529,nrw
23,2024-02-21 09:19:16.750648+00,Coesfeld,530,nrw
88,2024-02-21 09:19:16.750648+00,Münster,535,nrw
100,2024-02-21 09:19:16.750648+00,Paderborn,543,nrw
113,2024-02-21 09:19:16.750648+00,Siegen,548,nrw
47,2024-02-21 09:19:16.750648+00,Hamburg,261,germany_north
25,2024-02-21 09:19:16.750648+00,Darmstadt,270,ba_wue
94,2024-02-21 09:19:16.750648+00,Offenbach,279,ba_wue
35,2024-02-21 09:19:16.750648+00,Frankfurt am Main,281,ba_wue
9,2024-02-21 09:19:16.750648+00,Bad Homburg v.d.H.,282,ba_wue
66,2024-02-21 09:19:16.750648+00,Königstein,283,ba_wue
40,2024-02-21 09:19:16.750648+00,Fulda,286,ba_wue
43,2024-02-21 09:19:16.750648+00,Gießen,297,ba_wue
8,2024-02-21 09:19:16.750648+00,Bad Hersfeld,290,ba_wue
38,2024-02-21 09:19:16.750648+00,Friedberg,296,ba_wue
32,2024-02-21 09:19:16.750648+00,Eschwege,305,ba_wue
39,2024-02-21 09:19:16.750648+00,Fritzlar,306,ba_wue
58,2024-02-21 09:19:16.750648+00,Kassel,308,ba_wue
67,2024-02-21 09:19:16.750648+00,Korbach,309,ba_wue
75,2024-02-21 09:19:16.750648+00,Limburg,320,ba_wue
89,2024-02-21 09:19:16.750648+00,Neubrandenburg,339,germany_east
106,2024-02-21 09:19:16.750648+00,Rostock,349,germany_east
111,2024-02-21 09:19:16.750648+00,Schwerin,358,germany_east
19,2024-02-21 09:19:16.750648+00,Braunschweig,360,germany_north
118,2024-02-21 09:19:16.750648+00,Stadthagen,368,germany_north
44,2024-02-21 09:19:16.750648+00,Göttingen,372,germany_north
51,2024-02-21 09:19:16.750648+00,Hildesheim,387,germany_north
1,2024-02-21 09:19:16.750648+00,Aachen,549,nrw
30,2024-02-21 09:19:16.750648+00,Düren,550,nrw
109,2024-02-21 09:19:16.750648+00,Schleiden,553,nrw
18,2024-02-21 09:19:16.750648+00,Bonn,557,nrw
112,2024-02-21 09:19:16.750648+00,Siegburg,561,nrw
61,2024-02-21 09:19:16.750648+00,Kerpen,567,nrw
10,2024-02-21 09:19:16.750648+00,Bad Kreuznach,572,ba_wue
64,2024-02-21 09:19:16.750648+00,Koblenz,582,ba_wue
80,2024-02-21 09:19:16.750648+00,Mainz,593,ba_wue
77,2024-02-21 09:19:16.750648+00,Ludwigshafen,606,ba_wue
