startup_location;count;mapped_location
Schwelm;2;Cologne
Überlingen;2;other
Henstedt-Ulzburg;2;Hamburg
Steinfurt;2;other
Engen;2;other
Taunusstein;2;Frankfurt
Remscheid;2;Cologne
Spremberg;2;other
Thuine;2;other
Neunkirchen-Seelscheid;2;Cologne
Greiz;2;Leipzig
Mauer;2;Stuttgart
Breisach am Rhein;2;other
Rückersdorf;2;other
Pirmasens;2;Mannheim
Dörpen;2;other
Haldenwang;2;other
Cham;2;other
Laupheim;2;Stuttgart
Ennepetal;2;Cologne
Garching b. München;1;Munich
Lam;1;other
Greifenberg;1;Munich
Eppishausen;1;Munich
Kappelrodeck;1;other
Langerringen;1;Munich
Burgwald;1;other
Bad Bellingen;1;other
Selfkant-Tüddern;1;Cologne
Emmerich am Rhein;1;other
Schonach im Schwarzwald;1;other
Hausham;1;Munich
Xanten;1;other
Südliches Anhalt OT Gröbzig;1;other
Winhöring;1;other
Rielasingen-Worblingen;1;other
Haßfurt;1;other
Gaißach;1;Munich
Riethnordhausen;1;other
Kirchroth;1;other
Haag i.OB;1;Munich
Eberstadt;1;Stuttgart
Ellhofen;1;Stuttgart
Neuendettelsau;1;other
Meßkirch;1;other
Neunkirchen a. Sand;1;other
Tönisvorst;1;Cologne
Gäufelden;1;Stuttgart
Winterbach;1;Frankfurt
Lilienthal;1;other
Hagen;1;Cologne
Hohenmölsen;1;Leipzig
Crottendorf;1;other
Meckenbeuren;1;other
Schefflenz;1;Stuttgart
Reinfeld (Holstein);1;Hamburg
Altlandsberg;1;Berlin
Hoppstädten-Weiersbach;1;other
Buchholz;1;Hamburg
Stockelsdorf;1;Hamburg
Wiesloch;1;Stuttgart
Borgholzhausen;1;other
Teisendorf;1;other
Hohenbrunn-Riemerling;1;Munich
Schaufling;1;other
Bad Lauterberg im Harz;1;other
Neumünster;1;Hamburg
Görlitz;1;other
Gotha;1;other
Wildberg;1;other
Königsfeld im Schwarzwald;1;other
Melle;1;other
Traunreut;1;Munich
Limburg-Eschhofen;1;Frankfurt
Wohltorf;1;Hamburg
Bautzen;1;other
Schaafheim;1;Frankfurt
Sankt Peter-Ording;1;other
Diepholz;1;other
Schönwald;1;other
Niederkirchen;1;Mannheim
Siek;1;Hamburg
Schwalbach am Taunus;1;Frankfurt
Bergneustadt;1;Cologne
Schramberg;1;other
Eggenfelden;1;other
Schonungen OT Hausen;1;other
Mengerskirchen;1;Frankfurt
Osthofen;1;other
Scharbeutz;1;Hamburg
Ölbronn-Dürrn;1;Stuttgart
Assamstadt;1;other
Radevormwald;1;Cologne
Pfullingen;1;Stuttgart
Ebersberg;1;Munich
Blomberg;1;other
Bad Kötzting;1;other
Lupburg;1;other
Ebersbach;1;other
Reichenbach an der Fils;1;Stuttgart
Gammertingen;1;Stuttgart
Bobenheim-Roxheim;1;Frankfurt
Stauchitz/OT Panitz;1;other
Lütjensee;1;Hamburg
Immenstaad am Bodensee;1;other
Jersbek;1;Hamburg
Montabaur;1;Frankfurt
Altötting;1;other
Flein;1;Stuttgart
Wettstetten;1;Munich
Grafenrheinfeld;1;other
Bernried am Starnberger See;1;Munich
Cochem;1;other
Eurasburg;1;Munich
Aying;1;Munich
Seeshaupt;1;Munich
Üchtelhausen;1;other
Ketsch;1;Mannheim
Erzhausen;1;Frankfurt
Deutsch Evern;1;Hamburg
Maxdorf;1;Frankfurt
Gerstetten;1;Stuttgart
Hagen im Bremischen;1;other
Wildeck-Bosserode;1;other
Niederfischbach;1;Cologne
Kaltenkirchen;1;Hamburg
Hilchenbach;1;other
Nördlingen;1;other
Allensbach;1;other
Reinheim;1;Frankfurt
Burrweiler;1;Mannheim
Jork;1;Hamburg
