startup_id;startup_name;startup_website;
8543;Zava Global GmbH;https://www.zavamed.com/;
1974;Cytolytics GmbH;http://cytolytics.de/;
9658;Canostix GmbH;https://canostix.com/;
17201;ki elements UG (haftungsbeschränkt);https://ki-elements.de;
7323;Custom Surgical GmbH;https://customsurgical.de/;
6372;deepc GmbH;http://www.deepc.ai/;
7211;sync2brain GmbH;https://sync2brain.com;
10460;DaMedic GmbH;https://www.damedic.ai/;
13275;Modern Me GmbH;https://modern-clear.de;
6915;AVERY Fertility GmbH;https://www.avery-fertility.com/;
8879;Kosmas Therapeutics GmbH;https://www.kosmas-therapeutics.de;
4376;PROSION GmbH;https://prosion.io/;
4472;Aurora Gesundheit GmbH;;
10560;Cannify Pharma GmbH;https://cannify.de/;
13890;Feral GmbH;https://www.inne.io/;
11005;Bluelife GmbH;https://www.thebluelife.de/;
5336;Vaccinvent GmbH;http://ivacc.de/;
4080;VIMETRA GmbH;https://vimetra.de/;
7678;TRI Thinking Research Instruments GmbH;https://vaidr.de/;
9797;denovoMATRIX GmbH;https://www.denovomatrix.com/;
10829;AMMEVA GmbH;https://ammeva.de;
13685;Medipee GmbH;https://www.medipee.com/;
2806;DEOXY GmbH;https://deoxy.bio/;
12953;Keleya Digital-Health Solutions GmbH;https://keleya.de/;
11830;BreakthroughX Health GmbH;https://breakthrough.health/;
6920;Declareme GmbH;http://www.declareme.de/;
6891;SonoDent GmbH;;
6202;DeepSpin GmbH;http://deepspin.io/;
13532;Neoscan Solutions GmbH;https://www.neoscan-solutions.com;
3094;SmartOrthoSolutions GmbH;http://smartorthosolutions.com/;
7289;Oviavo GmbH;https://oviavo.com;
3865;RR Technologies GmbH;;
7034;DigitalHealth Technology GmbH;https://www.digitalhealth.technology/;
13848;MyBiotech GmbH;https://mybiotech.de;
6155;Medical Apps GmbH;;
6259;Avi Medical GmbH;https://www.avimedical.com/;
;;;
