name1,name2,score
Lhotse,MapShots GmbH,62
HomeBeat.Live,Innovative Robot Delivery GmbH,56
CBApply,Applyo Jena GmbH,64
Finlex,FIINEXX GmbH,75
FarmInsect,Tupu Farming Solutions GmbH,63
Krankenhaus,,60
charles,Charlie Production GmbH,77
Wellster Healthtech Group,MAYD Group GmbH,86
Chainflip,Charlie Production GmbH,60
Cardior Pharmaceuticals,Endosane Pharmaceuticals GmbH,75
Captiq,Native Technology Education GmbH,60
MetisMotion,Mango Netsolutions GmbH,66
Mozaik,Moja Innovations GmbH,60
Superchat,Supercrafts GmbH,70
Snackhelden,,60
Easy-Tutor,EasyJector GmbH,63
Finoa,Finanz-Werkzeuge GmbH,72
deepsafety,deepeye Medical GmbH,54
IONITY,arfinity GmbH,75
NavVis,,60
realcube - Fundamental Digital Transformation,use2go Digital GmbH,86
Retromotion,OneStop Pro Software Solutions GmbH,58
elopage,Elopage Holding GmbH,90
JJ Seltzer,Drink Seltzer GmbH,86
tradingtwins,TRADANTS GmbH,53
Statpile,matchmyestate GmbH,66
inContAlert,regionalheart GmbH,66
Neodigital,use2go Digital GmbH,72
Apriwell,MyClarella GmbH,61
Brinc,Hybric GmbH,76
Finanzritter,,90
wealthpilot,V.T. Sports and Health GmbH,62
Wonderway,Wandersmann Manufaktur GmbH,60
Osterus,e-tailbooster GmbH,71
Mädchenflohmarkt,awork GmbH,53
ROQ Technology,Native Technology Education GmbH,86
traceless materials,SOLAR MATERIALS GmbH,61
Parkdepot,orderspot GmbH,60
Steady,Stray Camp GmbH,62
202up,Smile2Pay GmbH,38
Freightly,Lifelight Entertainment GmbH,64
The nu company,The Future Living INT GmbH,86
Mambu,Bambustex GmbH,72
Aeditive,Additive Scale GmbH,79
REMEMBER,r-emote GmbH,60
Sensorberg,Farmsensor GmbH,63
Kindaling,KidsTrain GmbH,61
Doqtor,SleepDoctor Quantum GmbH,75
Echometer,Neomateria Games GmbH,60
bobbie,Bobbele Ideas GmbH,75
Perfect Drive Sports Group,Rim Drive GmbH,86
Aforza,IFOHRA GmbH,62
Rehago,natregio GmbH,62
Brickspaces,Spacies GmbH,58
STADTSALAT,stafftastic GmbH,54
Transolt,Transolt GmbH,90
Elinvar,Destinaries GmbH,64
retraced,getpacked GmbH,68
Staffbase,stafftastic GmbH,70
TreasureHunter,Treazure Ark GmbH,52
Motognosis,moonsisters GmbH,63
Retorio,retrip GmbH,66
mailo,Coinformation GmbH,72
Triviar,Triviar Education GmbH,90
Mareon,Goldmarie Finanzen GmbH,62
Semalytix,Smartlytix GmbH,70
MegaDev,Megavoid Studios GmbH,64
everstox,Masterversity GmbH,68
INZMO,Coin Mountain GmbH,72
FlowFox,Hexflow GmbH,62
Popcorn,SleepDoctor Quantum GmbH,64
Blickfeld,Lifelight Entertainment GmbH,57
Tracks,Petnacks GmbH,75
Oculid,oculai GmbH,75
Penta,Valkental GmbH,72
Senorics,shared mobility services GmbH,68
Connfair,,60
simpleclub,simply-culture GmbH,63
DcubeD,Rapid Cubes GmbH,75
Efferon LPS,Zefyron GmbH,52
Flexperto,REFLEX aerospace GmbH,70
Kenbi,Time To Token IT GmbH,72
LODGEA,LODGEA GmbH,90
Responsive Acoustics,REACNOSTICS Modelling & Data Science GmbH,56
Mymoria,MEMOREAN GmbH,64
LegalTegrity,P H I L I P A - legal tech GmbH,60
Kowry Energy,Intelligent Energy Transformation GmbH,86
MAGNOTHERM,ostermeier H2ydrogen Solutions GmbH,60
Phoenix Wings,Phoenix Internet GmbH,86
Myos,Twimyo GmbH,74
Quantum Systems,Quantum Enlightenment Technologies AG,86
Wallfair,Welfair GmbH,68
Clark,Craft Clarity GmbH,72
Cuculus,conclusia GmbH,64
Wundera,Thunder Labs GmbH,66
authentic.network,AWA Network GmbH,58
Humanoo,Human First GmbH,71
OQmented,Full Circle Moments GmbH,61
Plan A,L.A.B. Cosmetics GmbH,86
ryd,RYDES GmbH,90
CyberDirekt,Hyperion Realms GmbH,50
Content Bay,Content Bay GmbH,95
Careloop,FEI Skincare GmbH,57
diafyt MedTech,Diatope GmbH,54
DriveMining,,60
FlixBus,NAILFLIX GmbH,62
HOLY Energy,holy shocolate GmbH,86
Wirelane,m4 wireless GmbH,68
Cardisio,hub.cards software GmbH,68
Solarworx,Solarportal GmbH,70
emlen,dmg movement GmbH,72
Sawayo,shiawa GmbH,60
OCELL,metacells GmbH,72
Ohso Lecker,LawTracker Software GmbH,55
HighLine Technology,Native Technology Education GmbH,86
GeneQuine Biotherapeutics GmbH,BCN Food Tech GmbH,86
ExpressSteuer,Deutsch Express Technologies GmbH,62
Wonderz,Founders1 GmbH,64
HAWK AI,WeSort.AI GmbH,86
Liquiditeam,Liquid Heritage GmbH,65
T-knife,V.T. Sports and Health GmbH,86
VRLab Academy,Gaming Academy GmbH,66
Holoride,POCT Technologies GmbH,68
sourc-e,V.E.N.N. GmbH,86
Abc Doc,Haystack Oncology GmbH,61
Filestage,Fiesta GmbH,70
Rocvin Global Mobility,Mobias Mobility Advanced Solutions GmbH,86
INPERA,Kompetek Interaktiv GmbH,75
Crocus Labs,Bergsonne Labs GmbH,86
Getsafe,SecretSauce GmbH,64
Hopper Mobility,Hopper Mobility GmbH,95
autoRetouch,One Touch GmbH,56
Tvarit,Recrutario GmbH,62
Agile Robots AG,AVAILY AG,86
Hye,eat munchy GmbH,68
made of air GmbH,Htwo Power 'n' Heat GmbH,86
Everdrop,planserver.pro GmbH,57
Blacklane,,60
Isar Aerospace,REFLEX aerospace GmbH,86
Topas Therapeutics,Paricam Therapeutics GmbH,76
